line,level1,level2
Police Canine (K-9) Units: Maintenance and training for police dog units.,Public order and safety,Police services
Forensic Laboratory Upgrades: Investment in modern forensic technologies for evidence analysis.,Public order and safety,Police services
Domestic Violence Response Units: Specialized teams and resources for handling domestic violence cases.,Public order and safety,Police services
Traffic Enforcement and Safety Programs: Equipment and initiatives for traffic law enforcement and road safety.,Public order and safety,Police services
Intelligence Gathering and Analysis: Funding for intelligence units within the police force.,Public order and safety,Police services
Special Weapons and Tactics (SWAT) Teams: Training and equipment for specialized tactical response teams.,Public order and safety,Police services
Victim Support Services: Resources for supporting and assisting victims of crime.,Public order and safety,Police services
Crisis Negotiation Teams: Specialized training and resources for negotiators in hostage or crisis situations.,Public order and safety,Police services
"Surveillance Technology: Investment in CCTV, drones, and other surveillance technologies.",Public order and safety,Police services
Police Legal Services: Legal support for police operations and cases.,Public order and safety,Police services
Community Liaison Officers: Funding for officers dedicated to building relationships with specific communities or groups.,Public order and safety,Police services
Firefighter Salaries: Regular wages for firefighting personnel.,Public order and safety,Fire-protection services
Fire Station Maintenance and Upgrades: Costs for upkeep and modernization of fire station facilities.,Public order and safety,Fire-protection services
Fire Engine Acquisition and Maintenance: Expenditures for purchasing and maintaining fire engines and other response vehicles.,Public order and safety,Fire-protection services
"Firefighting Equipment Purchase: Costs for hoses, nozzles, breathing apparatus, and other firefighting tools.",Public order and safety,Fire-protection services
Fire Prevention and Education Programs: Initiatives to educate the public about fire safety and prevention.,Public order and safety,Fire-protection services
Fire Inspection and Code Enforcement: Funding for inspecting buildings for fire safety compliance and enforcing fire codes.,Public order and safety,Fire-protection services
"Wildfire Mitigation Programs: Strategies and tools to prevent and control wildfires, including controlled burns and firebreaks.",Public order and safety,Fire-protection services
Emergency Medical Services: Resources for paramedic services provided by fire departments.,Public order and safety,Fire-protection services
Hazmat Response Capabilities: Specialized equipment and training for handling hazardous materials incidents.,Public order and safety,Fire-protection services
Firefighter Training and Certification: Costs for ongoing professional training and certification for firefighters.,Public order and safety,Fire-protection services
"Personal Protective Equipment for Firefighters: Budget for fire-resistant clothing, helmets, gloves, and boots.",Public order and safety,Fire-protection services
Fire Investigation Units: Resources for investigating the causes of fires and arson.,Public order and safety,Fire-protection services
Urban Search and Rescue Teams: Specialized units for search and rescue operations in urban environments.,Public order and safety,Fire-protection services
Fire Alarm and Response Systems: Investment in technology for quick detection and response to fires.,Public order and safety,Fire-protection services
Public Fire Safety Campaigns: Campaigns and materials to promote fire safety awareness in the community.,Public order and safety,Fire-protection services
Volunteer Firefighter Support: Funding for training and equipping volunteer fire brigades.,Public order and safety,Fire-protection services
Fire Department IT and Communications Systems: Technologies for effective communication and coordination during emergencies.,Public order and safety,Fire-protection services
Water Rescue and Flood Response: Equipment and training for water-related emergencies and rescue operations.,Public order and safety,Fire-protection services
Community Fire Brigade Development: Initiatives to establish and support community-based fire response teams.,Public order and safety,Fire-protection services
Fire Safety Inspection Vehicles: Vehicles equipped for conducting fire safety inspections in the community.,Public order and safety,Fire-protection services
"Fire Science Research and Development: Funding for research into fire behavior, fire suppression techniques, and safety equipment.",Public order and safety,Fire-protection services
Aerial Firefighting Resources: Costs for maintaining and operating helicopters or planes used in aerial firefighting.,Public order and safety,Fire-protection services
Fire Department Facility Expansion: Budget for expanding existing fire stations or building new ones to meet growing needs.,Public order and safety,Fire-protection services
Disaster Preparedness and Response Training: Training firefighters to respond effectively in various disaster scenarios.,Public order and safety,Fire-protection services
Judges' Salaries: Regular salaries for judges and magistrates at various levels of the court system.,Public order and safety,Law courts
Courtroom Maintenance and Security: Funding for the upkeep and security of court buildings.,Public order and safety,Law courts
Legal Aid Services: Provision of public funds for legal representation for those unable to afford it.,Public order and safety,Law courts
Juror Fees and Expenses: Compensation and expenses for citizens serving as jurors.,Public order and safety,Law courts
"Court Administrative Staff Wages: Salaries for clerks, bailiffs, and other administrative personnel in the court system.",Public order and safety,Law courts
"Legal Research Resources: Investment in legal databases, libraries, and research tools.",Public order and safety,Law courts
"Courtroom Technology Upgrades: Funding for modernizing courtroom technology, including audio-visual equipment and digital recording systems.",Public order and safety,Law courts
Judicial Training and Development: Ongoing professional development programs for judges and court staff.,Public order and safety,Law courts
Litigation Costs: Expenditures associated with cases where the state or government is a party.,Public order and safety,Law courts
Witness Protection Programs: Resources for the protection and support of witnesses in criminal cases.,Public order and safety,Law courts
Case Management Systems: Investment in software and systems for efficient case tracking and management.,Public order and safety,Law courts
Public Legal Education: Initiatives to educate the public about the legal system and their rights.,Public order and safety,Law courts
"Specialized Court Programs: Funding for drug courts, family courts, and other specialized court programs.",Public order and safety,Law courts
Translation and Interpretation Services: Provision of translators and interpreters for non-English speaking participants in court proceedings.,Public order and safety,Law courts
Court Reporting Services: Costs for stenographers and transcription services in courtrooms.,Public order and safety,Law courts
Judicial Clerks and Assistants: Salaries for legal clerks and assistants who support judges in legal research and case preparation.,Public order and safety,Law courts
Electronic Filing System Implementation: Development and maintenance of electronic filing systems for court documents.,Public order and safety,Law courts
Court Facility Expansion Projects: Budget for expanding or building new court facilities to meet demand.,Public order and safety,Law courts
Legal Document Storage and Archiving: Costs for storing and archiving legal documents and case files.,Public order and safety,Law courts
Alternative Dispute Resolution Services: Funding for mediation and arbitration services offered by the courts.,Public order and safety,Law courts
Courtroom Accessibility Improvements: Enhancements to make courtrooms accessible to individuals with disabilities.,Public order and safety,Law courts
Judicial Advisory Services: Consultation and advisory services for complex legal issues and cases.,Public order and safety,Law courts
Emergency Preparedness for Courts: Planning and resources for court operation continuity during emergencies.,Public order and safety,Law courts
Legal Technology Research and Development: Investment in new technologies to improve the efficiency and fairness of the legal process.,Public order and safety,Law courts
Court Public Relations and Communication: Resources for communication and public relations efforts of the court system.,Public order and safety,Law courts
Correctional services,Public order and safety,Prisons
Construction of Penal Facilities I,Public order and safety,Prisons
Modernization of Penal Training Facilities,Public order and safety,Prisons
Probation Office accomodation,Public order and safety,Prisons
Complete Construction of Staff Houses,Public order and safety,Prisons
Security In Penal Institutions - Continued,Public order and safety,Prisons
Refurbishment of Makadara Boys Probation Hostel,Public order and safety,Prisons
Refurbishment of Klbera Probation Office,Public order and safety,Prisons
Security in Penal Facilities.,Public order and safety,Prisons
Construction of perimeter wall Shimo Main,Public order and safety,Prisons
Construction of Penal Facilities - I.,Public order and safety,Prisons
"Construct of phasel Hall, Offices & Ablution Block @ Regional Cmdr RV",Public order and safety,Prisons
Prison Staff Housing.,Public order and safety,Prisons
Construction of residential houses Wundanyi,Public order and safety,Prisons
Construction of residential houses Taveta,Public order and safety,Prisons
Construction of residential houses Naivasha Main,Public order and safety,Prisons
Construction of 2 staff houses at voi prison,Public order and safety,Prisons
Construction of 2 staff houses at wundanyi Women,Public order and safety,Prisons
Construction of 2 staff houses at Narok Women,Public order and safety,Prisons
Construction of 2 staff houses at Naivasha Women,Public order and safety,Prisons
Construction of penal facilities.,Public order and safety,Prisons
Construction of kitchen and dinning hall at Kitale women prisons,Public order and safety,Prisons
Construction of Probation Office Blocks.,Public order and safety,Prisons
Construction of office block for the Probation offices at Kakamega,Public order and safety,Prisons
Construction of office block and equipping at Vihiga,Public order and safety,Prisons
Maximum Security Level Facility.,Public order and safety,Prisons
Crime Data Analysis Systems: Development of advanced data analytics tools for crime pattern analysis and prediction.,Public order and safety,R&D Public order and safety
"Next-Generation Forensic Technologies: Research into new forensic methods, including DNA analysis and digital forensics.",Public order and safety,R&D Public order and safety
Public Safety Communication Technologies: Improving emergency communication systems for quicker and more efficient response.,Public order and safety,R&D Public order and safety
"Advanced Surveillance Technology: Development of high-tech surveillance tools, including facial recognition and drone technology.",Public order and safety,R&D Public order and safety
"Emergency Response Protocols: Research and development of improved protocols for responding to natural disasters, terrorist attacks, and other emergencies.",Public order and safety,R&D Public order and safety
Cybercrime Prevention Tools: Creating advanced cybersecurity technologies to prevent and investigate cybercrimes.,Public order and safety,R&D Public order and safety
Body Camera Technology and Analytics: Enhancing body-worn camera technology and data management for law enforcement.,Public order and safety,R&D Public order and safety
Crowd Control and Management Research: Studying effective techniques for managing large crowds and public events safely.,Public order and safety,R&D Public order and safety
Firefighting Equipment Innovation: Development of more effective and safer firefighting equipment and protective gear.,Public order and safety,R&D Public order and safety
Biometric Identification Systems: Advancing biometric identification methods for use in security and law enforcement.,Public order and safety,R&D Public order and safety
Traffic Management Systems: Innovating smarter traffic control and management solutions to enhance public safety.,Public order and safety,R&D Public order and safety
Behavioral Analysis Research: Studying criminal behavior to improve law enforcement strategies and public safety measures.,Public order and safety,R&D Public order and safety
Disaster Preparedness Technologies: Developing technology to enhance preparedness and response to natural disasters.,Public order and safety,R&D Public order and safety
"Public Safety Drones Development: Creating drones specifically designed for search and rescue, surveillance, and emergency situations.",Public order and safety,R&D Public order and safety
Law Enforcement Training Simulators: Advanced virtual reality training tools for police and law enforcement personnel.,Public order and safety,R&D Public order and safety
Emergency Medical Response Innovations: Research into new methods and equipment for emergency medical responders.,Public order and safety,R&D Public order and safety
Crisis Management Software: Development of software tools for managing public safety crises more effectively.,Public order and safety,R&D Public order and safety
Smart City Safety Technologies: Integrating public safety features into smart city infrastructure.,Public order and safety,R&D Public order and safety
Hazardous Material Handling Technologies: Innovations in safely managing and neutralizing hazardous materials.,Public order and safety,R&D Public order and safety
Police Tactical Equipment R&D: Researching and developing advanced equipment for tactical law enforcement units.,Public order and safety,R&D Public order and safety
Anti-Terrorism Technologies: Creating technologies and strategies specifically for counter-terrorism purposes.,Public order and safety,R&D Public order and safety
Public Safety Robotics: Development of robotic systems for use in dangerous or inaccessible areas during emergencies.,Public order and safety,R&D Public order and safety
Coast Guard Search and Rescue Technologies: Innovating in technology and methods for maritime search and rescue operations.,Public order and safety,R&D Public order and safety
Jail and Prison Security Innovations: Research into more effective and humane methods of securing correctional facilities.,Public order and safety,R&D Public order and safety
Integrated Public Safety Database Systems: Developing integrated database systems to share information across various public safety agencies.,Public order and safety,R&D Public order and safety
Small Business Development Programs: Funding for initiatives supporting small and medium-sized enterprises.,Economic affairs,"General economic, commercial and labour affairs"
Economic Research and Analysis: Investment in studies and data collection for economic policy-making.,Economic affairs,"General economic, commercial and labour affairs"
Trade Promotion Activities: Resources for promoting domestic products in international markets.,Economic affairs,"General economic, commercial and labour affairs"
Consumer Protection Services: Funding for agencies that protect consumer rights and ensure fair trade.,Economic affairs,"General economic, commercial and labour affairs"
Innovation and Technology Grants: Grants to support technological innovation in various economic sectors.,Economic affairs,"General economic, commercial and labour affairs"
Industrial Development Programs: Initiatives aimed at supporting and modernizing specific industrial sectors.,Economic affairs,"General economic, commercial and labour affairs"
Economic Diversification Projects: Funding for projects that diversify the economic base of regions or sectors.,Economic affairs,"General economic, commercial and labour affairs"
Investment Attraction and Incentives: Programs to attract domestic and foreign investment into key industries.,Economic affairs,"General economic, commercial and labour affairs"
Market Regulation and Oversight: Budget for agencies that oversee and regulate financial and commodity markets.,Economic affairs,"General economic, commercial and labour affairs"
Entrepreneurship Training and Support: Resources for training programs and support services for entrepreneurs.,Economic affairs,"General economic, commercial and labour affairs"
Tourism Development Initiatives: Investment in promoting and developing the tourism sector.,Economic affairs,"General economic, commercial and labour affairs"
Export-Import Bank Funding: Support for a bank that finances the export and import of goods.,Economic affairs,"General economic, commercial and labour affairs"
Business Incubation Centers: Funding for facilities that provide resources and services to startup companies.,Economic affairs,"General economic, commercial and labour affairs"
Workforce Development Programs: Initiatives to train and re-skill workers for current job market demands.,Economic affairs,"General economic, commercial and labour affairs"
"Labour Market Research: Funding for studies on employment trends, workforce needs, and labor economics.",Economic affairs,"General economic, commercial and labour affairs"
Unemployment Insurance Administration: Funding for the administration of unemployment benefits.,Economic affairs,"General economic, commercial and labour affairs"
Labour Rights Enforcement: Budget for agencies responsible for enforcing labor laws and regulations.,Economic affairs,"General economic, commercial and labour affairs"
Minimum Wage and Fair Labour Standards: Programs and oversight to ensure fair labor practices and wage standards.,Economic affairs,"General economic, commercial and labour affairs"
Workplace Diversity and Inclusion Initiatives: Funding for programs promoting diversity and inclusion in the workplace.,Economic affairs,"General economic, commercial and labour affairs"
Job Placement and Career Services: Resources for services that assist individuals in finding employment.,Economic affairs,"General economic, commercial and labour affairs"
Labor Union Relations and Negotiations: Support for mediation and negotiation between employers and labor unions.,Economic affairs,"General economic, commercial and labour affairs"
Apprenticeship and Vocational Training Programs: Investment in apprenticeships and vocational education.,Economic affairs,"General economic, commercial and labour affairs"
Youth Employment Initiatives: Programs specifically aimed at increasing employment opportunities for young people.,Economic affairs,"General economic, commercial and labour affairs"
Migrant Worker Programs: Resources to manage and support the needs of migrant workers in the labor force.,Economic affairs,"General economic, commercial and labour affairs"
Subsidies for Crop Production: Financial support for farmers to encourage production of certain crops.,Economic affairs,"Agriculture, forestry, fishing and hunting"
"Agricultural Research and Development: Funding for research into crop improvement, pest control, and sustainable farming practices.",Economic affairs,"Agriculture, forestry, fishing and hunting"
Rural Development Programs: Initiatives aimed at improving livelihoods and infrastructure in rural farming communities.,Economic affairs,"Agriculture, forestry, fishing and hunting"
Farmers' Training and Extension Services: Educational programs to assist farmers in improving agricultural practices.,Economic affairs,"Agriculture, forestry, fishing and hunting"
Irrigation and Water Management Projects: Development of irrigation systems to enhance agricultural productivity.,Economic affairs,"Agriculture, forestry, fishing and hunting"
"Livestock Health and Breeding Programs: Support for livestock health, including disease control and breeding improvements.",Economic affairs,"Agriculture, forestry, fishing and hunting"
Agroforestry and Land Management: Initiatives promoting sustainable land use practices combining agriculture and forestry.,Economic affairs,"Agriculture, forestry, fishing and hunting"
Agricultural Equipment Subsidies: Financial assistance to help farmers acquire modern farming equipment.,Economic affairs,"Agriculture, forestry, fishing and hunting"
Forest Conservation and Management: Programs for the sustainable management and conservation of forest resources.,Economic affairs,"Agriculture, forestry, fishing and hunting"
Reforestation and Afforestation Projects: Funding for planting trees to restore or create forests.,Economic affairs,"Agriculture, forestry, fishing and hunting"
Forest Fire Prevention and Control: Resources for preventing and fighting forest fires.,Economic affairs,"Agriculture, forestry, fishing and hunting"
Woodland Biodiversity Protection: Initiatives to protect and enhance biodiversity within forest ecosystems.,Economic affairs,"Agriculture, forestry, fishing and hunting"
"Forest Research and Monitoring: Investment in research on forest health, growth, and climate resilience.",Economic affairs,"Agriculture, forestry, fishing and hunting"
Community Forestry Programs: Supporting local communities in managing and benefiting from forest resources.,Economic affairs,"Agriculture, forestry, fishing and hunting"
"Forest Product Development: Research and development in the use of forest products, including timber and non-timber products.",Economic affairs,"Agriculture, forestry, fishing and hunting"
Training for Forestry Professionals: Educational programs for forestry workers and managers.,Economic affairs,"Agriculture, forestry, fishing and hunting"
Sustainable Fisheries Management: Programs to manage and sustain fish stocks and aquatic ecosystems.,Economic affairs,"Agriculture, forestry, fishing and hunting"
Aquaculture Development: Support for the development of sustainable fish farming practices.,Economic affairs,"Agriculture, forestry, fishing and hunting"
"Marine Conservation Initiatives: Efforts to protect marine life and habitats, important for both fishing and biodiversity.",Economic affairs,"Agriculture, forestry, fishing and hunting"
"Fisheries Research and Development: Investment in understanding fish populations, breeding, and aquatic health.",Economic affairs,"Agriculture, forestry, fishing and hunting"
"Fishing Industry Support: Assistance and subsidies for the fishing industry, including small-scale and artisanal fishers.",Economic affairs,"Agriculture, forestry, fishing and hunting"
Hunting Regulation and Management: Funding for the regulation and sustainable management of hunting activities.,Economic affairs,"Agriculture, forestry, fishing and hunting"
Wildlife Population Monitoring: Research and surveillance of wildlife populations to inform hunting regulations.,Economic affairs,"Agriculture, forestry, fishing and hunting"
Fisheries and Hunting Licensing and Enforcement: Administration of fishing and hunting licenses and enforcement of regulations.,Economic affairs,"Agriculture, forestry, fishing and hunting"
"Habitat Restoration Projects: Efforts to restore habitats important for both fishing and hunting, such as wetlands and riparian zones.",Economic affairs,"Agriculture, forestry, fishing and hunting"
Coal Mining Safety Programs: Initiatives to improve safety standards in coal mining operations.,Economic affairs,Fuel and energy
Solid Fuel Research and Development: Funding for the development of cleaner and more efficient solid fuel technologies.,Economic affairs,Fuel and energy
Mineral Extraction Subsidies: Financial support for the extraction of solid mineral fuels.,Economic affairs,Fuel and energy
Rehabilitation of Mining Sites: Programs for the restoration of land affected by solid fuel mining.,Economic affairs,Fuel and energy
Oil and Gas Exploration Incentives: Support for exploration activities in search of new oil and natural gas reserves.,Economic affairs,Fuel and energy
Pipeline Safety and Maintenance: Funding for the maintenance and safety of oil and gas pipelines.,Economic affairs,Fuel and energy
Petroleum Reserve Management: Management of strategic petroleum reserves for energy security.,Economic affairs,Fuel and energy
Natural Gas Technology Innovation: Research into advanced natural gas extraction and processing technologies.,Economic affairs,Fuel and energy
Nuclear Reactor Research: Investment in the research and development of nuclear reactor technologies.,Economic affairs,Fuel and energy
Nuclear Waste Disposal Solutions: Programs focused on the safe disposal or recycling of nuclear waste.,Economic affairs,Fuel and energy
Nuclear Safety Regulation: Funding for regulatory bodies overseeing nuclear safety and compliance.,Economic affairs,Fuel and energy
Nuclear Emergency Preparedness: Resources for emergency response planning and training in the event of a nuclear incident.,Economic affairs,Fuel and energy
Alternative Fuel Research: Research into alternative fuel sources such as biofuels and synthetic fuels.,Economic affairs,Fuel and energy
Subsidies for Biofuel Production: Financial incentives for the production of biofuels from agricultural waste or crops.,Economic affairs,Fuel and energy
Hydrogen Fuel Development: Investment in developing hydrogen as a clean and efficient energy source.,Economic affairs,Fuel and energy
Renewable Energy Grid Integration: Programs to integrate renewable energy sources into the national grid.,Economic affairs,Fuel and energy
Electricity Transmission Infrastructure: Investment in the expansion and modernization of electrical transmission networks.,Economic affairs,Fuel and energy
Rural Electrification Programs: Initiatives to extend electrical service to rural and underserved areas.,Economic affairs,Fuel and energy
Smart Grid Technology: Development of smart grid technologies for more efficient electricity distribution.,Economic affairs,Fuel and energy
Geothermal Energy Development: Support for the exploration and development of geothermal energy resources.,Economic affairs,Fuel and energy
Solar Thermal Technology: Investment in solar thermal energy as an alternative to electricity for heating and cooling.,Economic affairs,Fuel and energy
Wind Energy for Non-Electric Use: Development of wind energy systems for direct mechanical or other non-electric applications.,Economic affairs,Fuel and energy
Energy Efficiency Programs: Initiatives to promote energy efficiency in industries that do not primarily use electricity.,Economic affairs,Fuel and energy
Research in Tidal and Wave Energy: Funding for the development of tidal and wave energy technologies.,Economic affairs,Fuel and energy
Thermal Energy Storage Systems: Research and development of storage systems for non-electric thermal energy.,Economic affairs,Fuel and energy
"Mineral Exploration Incentives: Funding for the exploration of non-fuel mineral resources, such as metals and rare earth elements.",Economic affairs,"Mining, manufacturing and construction"
Mining Safety Programs: Initiatives to improve safety standards and practices in the mining industry.,Economic affairs,"Mining, manufacturing and construction"
Environmental Impact Assessments: Funding for assessing and mitigating the environmental impacts of mining activities.,Economic affairs,"Mining, manufacturing and construction"
Mineral Processing Technology R&D: Research into more efficient and environmentally friendly mineral processing technologies.,Economic affairs,"Mining, manufacturing and construction"
Mine Rehabilitation and Closure Funds: Resources for the restoration of land post-mining activities.,Economic affairs,"Mining, manufacturing and construction"
Advanced Manufacturing Technology: Investment in new technologies to enhance manufacturing efficiency and output.,Economic affairs,"Mining, manufacturing and construction"
Small and Medium Enterprise (SME) Manufacturing Support: Programs to assist SMEs in the manufacturing sector with funding and resources.,Economic affairs,"Mining, manufacturing and construction"
Workforce Skills Training: Funding for training programs to enhance the skills of workers in the manufacturing sector.,Economic affairs,"Mining, manufacturing and construction"
Manufacturing Innovation Grants: Grants to encourage innovation in manufacturing processes and products.,Economic affairs,"Mining, manufacturing and construction"
Export Promotion for Manufactured Goods: Initiatives to promote the export of domestically manufactured goods.,Economic affairs,"Mining, manufacturing and construction"
"Technology Transfer Programs: Initiatives to facilitate the transfer of technology between mining, manufacturing, and construction sectors.",Economic affairs,"Mining, manufacturing and construction"
Sustainable Resource Management: Funding for projects that promote sustainable practices across all three sectors.,Economic affairs,"Mining, manufacturing and construction"
"Export Infrastructure Development: Investments in ports, logistics centers, and other infrastructure to support the export of minerals and manufactured goods.",Economic affairs,"Mining, manufacturing and construction"
Quality Assurance and Standards Development: Programs to develop and enforce quality standards in manufacturing and construction.,Economic affairs,"Mining, manufacturing and construction"
"Industrial Park Development: Funding for the creation and maintenance of industrial parks, combining manufacturing and mining activities.",Economic affairs,"Mining, manufacturing and construction"
Sector-Specific Environmental Technologies: Research into technologies that reduce the environmental impact of these sectors.,Economic affairs,"Mining, manufacturing and construction"
Public-Private Partnership Projects: Initiatives to encourage public-private partnerships in large-scale construction and mining projects.,Economic affairs,"Mining, manufacturing and construction"
International Trade and Compliance Programs: Programs to assist sectors in meeting international trade regulations and standards.,Economic affairs,"Mining, manufacturing and construction"
Industrial Automation and Robotics: Investment in automation and robotics technology applicable in these sectors.,Economic affairs,"Mining, manufacturing and construction"
"Supply Chain Optimization Studies: Research into optimizing supply chains for efficiency in mining, manufacturing, and construction.",Economic affairs,"Mining, manufacturing and construction"
Highway and Road Construction: Funding for the construction of new highways and roads.,Economic affairs,Transport
Road Maintenance and Repair: Resources for the upkeep and repair of existing roadways.,Economic affairs,Transport
Traffic Management Systems: Investment in technologies for traffic control and management.,Economic affairs,Transport
Bridge Construction and Maintenance: Funding for the building and upkeep of bridges.,Economic affairs,Transport
"Road Safety Programs: Initiatives to promote safety on roads, including driver education and enforcement campaigns.",Economic affairs,Transport
Port Development and Expansion: Investment in the construction and expansion of sea and river ports.,Economic affairs,Transport
Maritime Safety Regulations: Funding for the enforcement of safety standards and regulations in maritime transport.,Economic affairs,Transport
"Navigational Aids: Investment in buoys, lighthouses, and other navigational aids for maritime routes.",Economic affairs,Transport
Inland Waterways Improvement: Resources for the maintenance and improvement of canals and rivers for transport.,Economic affairs,Transport
Shipbuilding Subsidies: Financial support for domestic shipbuilding industries.,Economic affairs,Transport
"Rail Network Expansion: Funding for the expansion of railway networks, including new lines and stations.",Economic affairs,Transport
"Railway Infrastructure Maintenance: Resources for the maintenance of tracks, signals, and stations.",Economic affairs,Transport
High-Speed Rail Development: Investment in the development of high-speed rail lines and technology.,Economic affairs,Transport
Rail Freight Subsidies: Subsidies to support the transportation of goods by rail.,Economic affairs,Transport
"Railway Safety Initiatives: Programs to enhance safety on railways, including crossing safety and accident prevention.",Economic affairs,Transport
Airport Construction and Expansion: Funding for building new airports and expanding existing ones.,Economic affairs,Transport
Air Traffic Control Systems: Investment in advanced air traffic control technologies for safer and more efficient airspace management.,Economic affairs,Transport
Aviation Safety Programs: Initiatives to enforce and improve safety standards in the aviation industry.,Economic affairs,Transport
Research in Aviation Technology: Funding for research into new aviation technologies and innovations.,Economic affairs,Transport
"Airlines Support and Subsidies: Financial support for national airlines, especially in challenging economic conditions.",Economic affairs,Transport
"Pipeline Construction and Maintenance: Investment in the construction and maintenance of oil, gas, and water pipelines.",Economic affairs,Transport
"Transportation Research and Innovation: Funding for research in innovative transport solutions, including electric and autonomous vehicles.",Economic affairs,Transport
Urban Public Transport Systems: Investment in the development and maintenance of urban transportation systems like buses and trams.,Economic affairs,Transport
Freight Terminal Development: Resources for developing freight terminals and logistic hubs.,Economic affairs,Transport
"Non-Motorized Transport Infrastructure: Funding for infrastructure supporting non-motorized transport, like bicycle lanes and pedestrian paths.",Economic affairs,Transport
Telecommunications Infrastructure Development: Funding for the expansion and upgrade of telecommunications networks.,Economic affairs,Communication
Rural Communication Expansion: Initiatives to extend communication services to rural and underserved areas.,Economic affairs,Communication
Broadcasting Technology Upgrades: Investment in advanced technologies for radio and television broadcasting.,Economic affairs,Communication
Public Internet Access Points: Establishment and maintenance of public Wi-Fi zones and internet cafes.,Economic affairs,Communication
Submarine Cable Installation: Funding for laying submarine communication cables to enhance international connectivity.,Economic affairs,Communication
Digital Literacy Programs: Initiatives to improve digital literacy among the population.,Economic affairs,Communication
Cybersecurity Infrastructure: Investment in protecting communication networks against cyber threats.,Economic affairs,Communication
Emergency Communication Systems: Development of robust communication systems for use during emergencies and disasters.,Economic affairs,Communication
Satellite Communication Projects: Funding for satellite-based communication services and technologies.,Economic affairs,Communication
Postal Service Modernization: Modernizing postal services to improve efficiency and expand service offerings.,Economic affairs,Communication
E-Government Services Development: Creating and maintaining online platforms for government services and information.,Economic affairs,Communication
Public Broadcasting Funding: Financial support for public radio and television broadcasting services.,Economic affairs,Communication
"Mobile Network Expansion: Support for expanding mobile telephony coverage, including 5G networks.",Economic affairs,Communication
Media Literacy Education: Programs to educate the public on media consumption and discerning information.,Economic affairs,Communication
Communication Regulatory Body Operations: Funding for the operations of national regulatory bodies overseeing communications.,Economic affairs,Communication
Community Radio and TV Initiatives: Support for local community-based radio and television stations.,Economic affairs,Communication
Accessibility Improvements: Ensuring communication services are accessible to individuals with disabilities.,Economic affairs,Communication
Data Protection and Privacy Initiatives: Programs to enforce data protection laws and promote user privacy.,Economic affairs,Communication
Research in Communication Technologies: Funding for research into new communication technologies and innovations.,Economic affairs,Communication
Telecommunication Training and Workforce Development: Initiatives to train professionals in the telecommunications sector.,Economic affairs,Communication
National Broadband Strategy Implementation: Execution of strategies to provide nationwide broadband access.,Economic affairs,Communication
Spectrum Management and Allocation: Resources for managing and allocating the electromagnetic spectrum effectively.,Economic affairs,Communication
"Public Wi-Fi in Transportation Hubs: Installation of public Wi-Fi systems in airports, train stations, and bus terminals.",Economic affairs,Communication
Information Campaigns on Communication Services: Public awareness campaigns about available communication services and how to access them.,Economic affairs,Communication
Support for Telecommuting and Remote Work Infrastructure: Investment in infrastructure and services to support telecommuting and remote working trends.,Economic affairs,Communication
"Retail Sector Modernization Grants: Funding to modernize retail operations, including adopting new technologies.",Economic affairs,Other industries
Warehouse Infrastructure Development: Investment in the construction and upgrading of warehousing facilities.,Economic affairs,Other industries
E-commerce Support Programs: Initiatives to support businesses transitioning to or expanding their e-commerce presence.,Economic affairs,Other industries
Logistics Network Improvement: Funding for the development of efficient logistics and distribution networks.,Economic affairs,Other industries
Small Business Retail Incentives: Financial incentives for small and independent retail businesses to enhance their competitiveness.,Economic affairs,Other industries
Hospitality Industry Training Programs: Funding for training programs in hospitality management and culinary arts.,Economic affairs,Other industries
Restaurant Modernization Grants: Grants to help restaurants upgrade their facilities and equipment.,Economic affairs,Other industries
Hotel Expansion and Renovation Subsidies: Subsidies to support the expansion or renovation of hotel facilities.,Economic affairs,Other industries
Food Safety and Hygiene Initiatives: Programs to ensure high standards of food safety and hygiene in restaurants.,Economic affairs,Other industries
Culinary Tourism Promotion: Initiatives to promote regions or cities based on their culinary offerings.,Economic affairs,Other industries
Tourism Marketing Campaigns: National and international campaigns to promote tourism.,Economic affairs,Other industries
Cultural Heritage Site Preservation: Funding for the preservation and promotion of cultural heritage sites to attract tourists.,Economic affairs,Other industries
Eco-Tourism Development Initiatives: Initiatives to develop and promote eco-friendly tourism options.,Economic affairs,Other industries
Tourist Information Centers: Establishment and maintenance of tourist information centers in key locations.,Economic affairs,Other industries
Accessibility Improvements in Tourism Spots: Enhancing accessibility for tourists with disabilities at major tourist attractions.,Economic affairs,Other industries
Public-Private Partnership Facilitation: Funding to facilitate partnerships between the public sector and private investors for large development projects.,Economic affairs,Other industries
Innovative SMEs Support Programs: Funding for small and medium enterprises (SMEs) engaged in innovative projects.,Economic affairs,R&D Economic affairs
Green Technology Research: Investment in the development of sustainable and environmentally friendly technologies.,Economic affairs,R&D Economic affairs
Digital Economy Development: Research into new technologies and models for advancing the digital economy.,Economic affairs,R&D Economic affairs
Economic Policy Research: Studies to inform effective economic policy-making and strategy development.,Economic affairs,R&D Economic affairs
Industrial Automation R&D: Development of automation technologies to enhance manufacturing efficiency.,Economic affairs,R&D Economic affairs
"Renewable Energy Technology Innovation: Funding for research in solar, wind, and other renewable energy technologies.",Economic affairs,R&D Economic affairs
Agricultural Innovation Programs: Research into new agricultural techniques and technologies for improved productivity.,Economic affairs,R&D Economic affairs
